play,player,Team,score,note,year
H,양준혁,SAM,156,,1998
2B,유지현,LG,36,,1998
3B,정수근,OB,11,,1998
HR,우즈,OB,42,,1998
RBI,우즈,OB,103,,1998
R,이승엽,SAM,100,,1998
SB,정수근,OB,44,13SB실패,1998
SLG,이승엽,SAM,0.621,,1998
OBP,양준혁,SAM,0.450,,1998
W,김용수,LG,18,6패,1998
ERA,정명원,HYU,1.86,184이닝38자책점,1998
WPCT,김수경,HYU,0.750,12승4패,1998
WPCT,김용수,LG,18승6패,,1998
K,이대진,HAE,183,,1998
RF,임창용,HAE,42,34SV8RF승,1998
SV,임창용,HAE,34,,1998
AVG,마해영,LOT,0.372,503타수187H,1999
H,李炳圭,LG,192,,1999
2B,李炳圭,LG,43,,1999
3B,송지만,HAN,11,,1999
HR,이승엽,SAM,54,,1999
RBI,이승엽,SAM,123,,1999
R,이승엽,SAM,128,,1999
SB,정수근,DOO,57,13SB실패,1999
SLG,이승엽,SAM,0.733,,1999
OBP,이승엽,SAM,0.458,,1999
W,정민태,HYU,20,7패,1999
ERA,임창용,SAM,2.14,138.66이닝33자책점,1999
WPCT,문동환,LOT,0.810,17승4패,1999
K,김수경,HYU,184,,1999
RF,진필중,DOO,52,36SV16RF승,1999
SV,임창용,SAM,38,,1999
AVG,박종호,HYU,0.340,441타수150H,2000
H,李炳圭,LG,170,,2000
H,장원진,DOO,,,2000
2B,이영우,HAN,36,,2000
3B,이영우,HAN,5,,2000
3B,박재홍,HYU,,,2000
3B,장원진,DOO,,,2000
3B,채종범,SK,,,2000
HR,박경완,HYU,40,,2000
RBI,박재홍,HYU,115,,2000
R,이승엽,SAM,108,,2000
SB,정수근,DOO,47,7SB실패,2000
SLG,송지만,HAN,0.622,,2000
OBP,장성호,HAE,0.436,,2000
W,정민태,HYU,18,6패,2000
W,김수경,HYU,,8패,2000
W,임선동,HYU,,4패,2000
ERA,구대성,HAN,2.77,133.33이닝41자책점,2000
WPCT,송진우,HAN,0.867,13승2패,2000
K,임선동,HYU,174,,2000
RF,진필중,DOO,47,42SV5RF승,2000
SV,진필중,DOO,42,,2000
HLD,조웅천,HYU,16,,2000
AVG,양준혁,LG,0.355,439타수156H,2001
H,李炳圭,LG,167,,2001
2B,조경환,LOT,33,,2001
3B,정수근,DOO,9,,2001
HR,이승엽,SAM,39,,2001
RBI,우즈,DOO,113,,2001
R,李炳圭,LG,107,,2001
SB,정수근,DOO,52,11SB실패,2001
SLG,호세,LOT,0.695,,2001
OBP,호세,LOT,0.503,,2001
W,신윤호,LG,15,6패,2001
W,손민한,LOT,,6패,2001
ERA,박석진,LOT,2.98,133이닝44자책점,2001
WPCT,신윤호,LG,0.714,15승6패,2001
WPCT,손민한,LOT,,15승6패,2001
WPCT,갈베스,SAM,,10승4패,2001
K,에르난데스,SK,215,,2001
RF,신윤호,LG,32,18SV14RF승,2001
SV,진필중,DOO,23,,2001
HLD,차명주,DOO,18,,2001
AVG,장성호,KIA,0.343,481타수165H,2002
H,마해영,SAM,172,,2002
2B,이승엽,SAM,42,,2002
3B,전준호,HYU,8,,2002
